epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,31243.1,0.76867,0.99678,1.07625,0.79413,0.78206,0.85585,0.67449,0.83207,0.71299,0.95325,0.004258,0.004258,0.004258
60,31776.4,0.77097,0.99588,1.07676,0.79182,0.78703,0.85736,0.67567,0.83116,0.71004,0.95239,0.004159,0.004159,0.004159
61,32310.9,0.76826,0.98969,1.07534,0.78701,0.79308,0.85825,0.67641,0.82994,0.70902,0.9518,0.00406,0.00406,0.00406
62,32844.7,0.76744,0.98488,1.07483,0.7849,0.79488,0.85927,0.6778,0.82919,0.70683,0.95099,0.003961,0.003961,0.003961
63,33378.1,0.76487,0.97974,1.07345,0.78837,0.78976,0.86,0.67811,0.82835,0.70562,0.9506,0.003862,0.003862,0.003862
64,33912.2,0.76081,0.98171,1.07261,0.78921,0.79122,0.86082,0.67968,0.8277,0.70441,0.95044,0.003763,0.003763,0.003763
65,34447.2,0.76255,0.97495,1.0736,0.78948,0.79254,0.86197,0.68088,0.82782,0.70452,0.95059,0.003664,0.003664,0.003664
66,34981.3,0.76006,0.97283,1.07366,0.79161,0.79087,0.86233,0.68156,0.8253,0.70101,0.94851,0.003565,0.003565,0.003565
67,35516.2,0.75483,0.96715,1.07063,0.7947,0.79139,0.86333,0.68228,0.82357,0.69731,0.94734,0.003466,0.003466,0.003466
68,36050.5,0.75863,0.96343,1.07103,0.79674,0.79344,0.86356,0.68234,0.82259,0.69486,0.94668,0.003367,0.003367,0.003367
69,36585,0.75581,0.9581,1.07028,0.79532,0.79526,0.86427,0.68221,0.82164,0.69282,0.94566,0.003268,0.003268,0.003268
70,37120.2,0.75583,0.95151,1.06908,0.79747,0.79973,0.86543,0.68245,0.82114,0.69174,0.94527,0.003169,0.003169,0.003169
71,37654.1,0.75146,0.94985,1.06771,0.79805,0.80059,0.86607,0.68273,0.82055,0.69086,0.94483,0.00307,0.00307,0.00307
72,38187.5,0.74878,0.95134,1.06818,0.79695,0.80636,0.86665,0.68342,0.82307,0.69487,0.94722,0.002971,0.002971,0.002971
73,38722.2,0.7474,0.94326,1.06713,0.7905,0.81025,0.86682,0.68387,0.82459,0.69866,0.94829,0.002872,0.002872,0.002872
74,39255.7,0.74648,0.94002,1.06519,0.79908,0.80308,0.8671,0.68449,0.82404,0.69643,0.94785,0.002773,0.002773,0.002773
75,39788.9,0.74591,0.93498,1.06622,0.7953,0.79974,0.86758,0.68548,0.82292,0.69389,0.94699,0.002674,0.002674,0.002674
76,40321.9,0.7441,0.93149,1.06563,0.79327,0.80222,0.8682,0.68668,0.82176,0.6911,0.94632,0.002575,0.002575,0.002575
